region_id,population,population_rounded,target_population,population_ratio,area_m2,area_sqmi,population_density_per_sqmi,centroid_x,centroid_y,centroid_lon,centroid_lat
area_pop_003198,879.7176531684456,880,8432.079434167574,0.10432985837440614,303514.2316799957,0.11718749999999835,7506.923973704175,40672.06860553039,210956.26703540332,-77.03087981367872,38.90183520514768
area_pop_003199,1664.411814440468,1664,8432.079434167574,0.19739043345537233,303514.2316799957,0.11718749999999835,14202.980816558862,41222.98986277138,210956.26703540332,-77.02452547355902,38.901810989716004
area_pop_003200,7791.561057028373,7792,8432.079434167574,0.9240379099675271,303514.2316799957,0.11718749999999835,66487.98768664306,41773.91112001237,210956.26703540332,-77.01817113753346,38.90178644848941
area_pop_003201,1705.4368066468649,1705,8432.079434167574,0.20225578043492753,303514.2316799957,0.11718749999999835,14553.060750053452,42324.83237725338,210956.26703540332,-77.01181680565672,38.9017615814682
area_pop_003202,2795.297148461901,2795,8432.079434167574,0.33150744964938256,303514.2316799957,0.11718749999999835,23853.202333541893,42875.753634494366,210956.26703540332,-77.00546247798353,38.90173638865269
area_pop_003203,4265.473446335704,4265,8432.079434167574,0.5058625786957849,303514.2316799957,0.11718749999999835,36398.70674206518,43426.67489173537,210956.26703540332,-76.99910815456857,38.901710870043146
area_pop_003204,3922.4417028019834,3922,8432.079434167574,0.46518082916864884,1214056.926720015,0.4687500000000058,8367.875632644129,24419.891516921,211231.72766402384,-77.21832518946181,38.90488564615503
area_pop_003205,5787.635108117945,5788,8432.079434167574,0.686382896805491,1214056.926720015,0.4687500000000058,12346.95489731813,25521.73403140299,211231.72766402384,-77.20561590241715,38.90485611071966
area_pop_003206,2207.085558760809,2207,8432.079434167574,0.2617486678099227,1214056.926720015,0.4687500000000058,4708.449192023001,31030.946603812958,211231.72766402384,-77.14206962805225,38.90468888488192
area_pop_003207,2470.832434599798,2471,8432.079434167574,0.29302765158826116,1214056.926720015,0.4687500000000058,5271.1091938128375,32132.78911829495,211231.72766402384,-77.12936040841527,38.90465152999339
area_pop_003208,2087.9459905708495,2088,8432.079434167574,0.24761934548556283,1214056.926720015,0.4687500000000058,4454.284779884424,33234.63163277694,211231.72766402384,-77.11665120154503,38.90461287186856
area_pop_003209,1775.1993458935622,1775,8432.079434167574,0.21052924842006215,1214056.926720015,0.4687500000000058,3787.0919379062193,34336.47414725893,211231.72766402384,-77.1039420078793,38.90457291050926
area_pop_003210,993.1823817708233,993,8432.079434167574,0.11778617475380457,1214056.926720015,0.4687500000000058,2118.7890811110638,35438.31666174092,211231.72766402384,-77.0912328278558,38.90453164591744
area_pop_003211,3995.040561988302,3995,8432.079434167574,0.4737906696893799,1214056.926720015,0.4687500000000058,8522.753198908273,36540.159176222915,211231.72766402384,-77.0785236619123,38.904489078095004
area_pop_003212,4623.764032481204,4624,8432.079434167574,0.5483539462099087,1214056.926720015,0.4687500000000058,9864.02993595978,37642.00169070491,211231.72766402384,-77.06581451048653,38.90444520704406
area_pop_003213,5391.1422411643,5391,8432.079434167574,0.6393609409464156,1214056.926720015,0.4687500000000058,11501.103447817031,39845.68671966889,211231.72766402384,-77.04039625293915,38.904353555265004
area_pop_003214,9615.806819247175,9616,8432.079434167574,1.1403838038198533,1214056.926720015,0.4687500000000058,20513.72121439372,44253.05677759687,211231.72766402384,-76.98955993131737,38.90415461306093
area_pop_003215,7553.374313861851,7553,8432.079434167574,0.8957902226649896,1214056.926720015,0.4687500000000058,16113.865202905085,45354.89929207885,211231.72766402384,-76.9768508937722,38.90410161947246
area_pop_003216,60.74811305221101,61,8432.079434167574,0.007204404741024377,1214056.926720015,0.4687500000000058,129.59597451138188,46456.741806560836,211231.72766402384,-76.96414187424654,38.90404732267397
area_pop_003217,4342.616765245842,4343,8432.079434167574,0.5150113680913811,1214056.926720015,0.4687500000000058,9264.249099191014,47558.584321042836,211231.72766402384,-76.95143287317816,38.903991722668074
area_pop_003218,4277.518291200011,4278,8432.079434167574,0.5072910335577612,1214056.926720015,0.4687500000000058,9125.372354559911,48660.42683552483,211231.72766402384,-76.93872389100471,38.9039348194574
area_pop_003219,6010.318691326288,6010,8432.079434167574,0.7127919913766366,1214056.926720015,0.4687500000000058,12822.01320816259,49762.26935000683,211231.72766402384,-76.92601492816392,38.903876613044716
area_pop_003220,2576.4074474414074,2576,8432.079434167574,0.3055482894292437,1214056.926720015,0.4687500000000058,5496.335887874935,50864.111864488805,211231.72766402384,-76.9133059850935,38.90381710343276
area_pop_003221,3260.703430035741,3261,8432.079434167574,0.38670217180628846,1214056.926720015,0.4687500000000058,6956.167317409495,51965.954378970804,211231.72766402384,-76.90059706223111,38.903756290624436
area_pop_003222,1460.2201299771139,1460,8432.079434167574,0.17317438021992126,303514.2316800118,0.11718750000000455,12460.545109137554,38468.38357656641,211507.18829264434,-77.0562680984559,38.906894082036885
area_pop_003223,4445.932762751716,4446,8432.079434167574,0.5272640986678068,303514.2316800118,0.11718750000000455,37938.6262421465,39019.3048338074,211507.18829264434,-77.0499133255492,38.90687116839623
area_pop_003224,7690.316907546448,7690,8432.079434167574,0.912030889602933,303514.2316800118,0.11718750000000455,65624.03761106047,40672.06860553038,211507.18829264434,-77.03084903030421,38.90680047258038
area_pop_003225,5420.4560453139175,5420,8432.079434167574,0.6428374029957217,303514.2316800118,0.11718750000000455,46254.55825334363,41222.989862771385,211507.18829264434,-77.02449427322999,38.906776255678096
area_pop_003226,3712.3348858518734,3712,8432.079434167574,0.44026327252197667,303514.2316800118,0.11718750000000455,31678.591025934755,41773.91112001237,211507.18829264434,-77.01813952025071,38.90675171296112
area_pop_003227,2917.225494913442,2917,8432.079434167574,0.34596750631790446,303514.2316800118,0.11718750000000455,24893.65755659374,42324.83237725338,211507.18829264434,-77.01178477142108,38.90672684442974
area_pop_003228,4007.4585695023093,4007,8432.079434167574,0.47526337966690785,303514.2316800118,0.11718750000000455,34196.97979308505,42875.75363449437,211507.18829264434,-77.00543002679579,38.90670165008428
area_pop_003229,1689.6321961304204,1690,8432.079434167574,0.200381437262542,303514.2316800118,0.11718750000000455,14418.194740312361,43426.67489173536,211507.18829264434,-76.99907528642962,38.906676129924996
area_pop_003230,1168.8367210412728,1169,8432.079434167574,0.1386178498633489,19424910.82751999,7.4999999999999964,155.84489613883645,-11389.99020374376,211782.6489212648,-77.63138841933869,38.91010139242401
area_pop_003231,1353.9106087448047,1354,8432.079434167574,0.16056663357067444,19424910.827519983,7.499999999999993,180.52141449930747,-64278.4308988794,211782.64892126483,-78.24146522001074,38.907953271678
area_pop_003232,9804.788034638474,9805,8432.079434167574,1.1627959759141449,19424910.827519983,7.499999999999993,1307.3050712851311,-59871.06084095142,211782.64892126483,-78.19062706651313,38.90824697089753
area_pop_003233,9181.621807668336,9182,8432.079434167574,1.088891759067585,19424910.827519983,7.499999999999993,1224.216241022446,67942.67083895969,211782.64892126483,-76.71626879729077,38.907693218877625
area_pop_003234,1974.4903600974221,1974,8432.079434167574,0.2341641080961124,19424910.827519983,7.499999999999993,263.2653813463232,72350.04089688766,211782.64892126483,-76.6654314135394,38.9073613321281
area_pop_003235,3494.4921835892583,3494,8432.079434167574,0.41442828081401245,303514.2316800118,0.11718750000000455,29819.666633293844,39570.2260910484,212058.10954988532,-77.0435286031247,38.911813174953956
area_pop_003236,5193.2009250652445,5193,8432.079434167574,0.6158861483232605,303514.2316800118,0.11718750000000455,44315.31456055503,40121.14734828939,212058.10954988532,-77.03717342101397,38.91178960825089
area_pop_003237,3565.1305937085895,3565,8432.079434167574,0.42280562244970643,303514.2316800118,0.11718750000000455,30422.44773297878,40672.06860553038,212058.10954988532,-77.03081824288951,38.91176571571275
area_pop_003238,3378.782763068293,3379,8432.079434167574,0.40070575585153406,303514.2316800118,0.11718750000000455,28832.27957818165,41222.98986277138,212058.10954988532,-77.02446306880604,38.91174149733986
area_pop_003239,2660.6417636906663,2661,8432.079434167574,0.315538033585108,303514.2316800118,0.11718750000000455,22704.14305015947,41773.91112001237,212058.10954988532,-77.01810789881831,38.9117169531325
area_pop_003240,3172.5357632841606,3173,8432.079434167574,0.37624595309535974,303514.2316800118,0.11718750000000455,27072.305180023784,42324.83237725338,212058.10954988532,-77.01175273298104,38.911692083090955
area_pop_003241,2944.6599655057066,2945,8432.079434167574,0.3492210893523689,1214056.926720015,0.4687500000000058,6281.94125974543,24419.891516921,212333.57017850585,-77.2182882188016,38.91481620137375
area_pop_003242,3183.0537474429098,3183,8432.079434167574,0.377493330357501,1214056.926720015,0.4687500000000058,6790.514661211457,25521.73403140299,212333.57017850585,-77.20557726364518,38.914786662351126
area_pop_003243,1926.7621474032567,1927,8432.079434167574,0.2285037946388214,1214056.926720015,0.4687500000000058,4110.42591446023,31030.946603812958,212333.57017850585,-77.14202264878476,38.9146194162027
area_pop_003244,2012.7876475424575,2013,8432.079434167574,0.23870596372544284,1214056.926720015,0.4687500000000058,4293.946981423856,32132.78911829495,212333.57017850585,-77.12931176106255,38.914582056777164
