site_no,facility_id,generator_id,registration_no,full_address,street_address,city,zipcode,stack_height,generation_budget_mw,generation_budget_method,generation_budget_source_id,pm25_budget_lb_per_hour,pm25_budget_method,pm25_budget_source_id,pm25_lb_per_mwh,pm25_factor_method,pm25_factor_source_id,observed_capacity_mw,observed_pm25_budget_lb_per_hour,observed_pm25_lb_per_mwh,imputation_tier,is_assumption,is_upper_bound,source_url,local_pdf_path,notes,generation_budget_mwh,lon,lat,geocode_match,geocode_match_type,geocode_address,matrix_index,region_id
VA_DEQ_74250_SITE_02,deq_va_deq_74250_site_02,deq_va_deq_74250_site_02_gensets,74250,"25190 Meadowdale Drive Chantilly, VA 20152",25190 Meadowdale Drive,Chantilly,20152,15m,90.7499999995,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,1.30136986301,permit_extracted_pm25_budget,deq_permit_74250,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,1.30136986301,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74250-2_Amazon_Data_Services_Inc_IAD-156_IAD-157_IAD-158_IAD-159_IAD-327.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,90.7499999995,-77.5191754,38.8998474,True,zip_centroid_approx,ZCTA centroid 20152,3176,area_pop_003176
VA_DEQ_74250_SITE_03,deq_va_deq_74250_site_03,deq_va_deq_74250_site_03_gensets,74250,"25410 Meadowdale Drive Chantilly, VA 20152",25410 Meadowdale Drive,Chantilly,20152,15m,90.7499999995,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,1.30136986301,permit_extracted_pm25_budget,deq_permit_74250,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,1.30136986301,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74250-2_Amazon_Data_Services_Inc_IAD-156_IAD-157_IAD-158_IAD-159_IAD-327.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,90.7499999995,-77.5191754,38.8998474,True,zip_centroid_approx,ZCTA centroid 20152,3176,area_pop_003176
VA_DEQ_74252_SITE_01,deq_va_deq_74252_site_01,deq_va_deq_74252_site_01_gensets,74252,"44725 Gigabit Plaza Ashburn, VA 20147",44725 Gigabit Plaza,Ashburn,20147,15m,63.2065789472,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.906392694064,permit_extracted_pm25_budget,deq_permit_74252,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.906392694064,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74252-2_Amazon_Data_Services_IAD-215.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,63.2065789472,-77.4795846,39.041507,True,zip_centroid_approx,ZCTA centroid 20147,3723,area_pop_003723
VA_DEQ_74260_SITE_01,deq_va_deq_74260_site_01,deq_va_deq_74260_site_01_gensets,74260,"7253 Grove Hill Road Gainesville, VA 20155",7253 Grove Hill Road,Gainesville,20155,15m,46.1710526315,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.662100456621,permit_extracted_pm25_budget,deq_permit_74260,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.662100456621,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74260-2_NTT_Global_Data_Centers_VA10_LLC.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,46.1710526315,-77.6214881,38.8064155,True,zip_centroid_approx,ZCTA centroid 20155,2772,area_pop_002772
VA_DEQ_74260_SITE_02,deq_va_deq_74260_site_02,deq_va_deq_74260_site_02_gensets,74260,"7251 Grove Hill Road Gainesville, VA 20155",7251 Grove Hill Road,Gainesville,20155,15m,46.1710526315,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.662100456621,permit_extracted_pm25_budget,deq_permit_74260,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.662100456621,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74260-2_NTT_Global_Data_Centers_VA10_LLC.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,46.1710526315,-77.6214881,38.8064155,True,zip_centroid_approx,ZCTA centroid 20155,2772,area_pop_002772
VA_DEQ_74262_SITE_01,deq_va_deq_74262_site_01,deq_va_deq_74262_site_01_gensets,74262,"9905 Godwin Dr Manassas, Virginia 20110",9905 Godwin Dr,Manassas,20110,15m,58.9078947367,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.844748858447,imputed_city_median_pm25_budget,city_median_pm25_budget,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,"data/raw/deq/pdfs/74262-3_Digital_Third_Second_Manassas,_LLC_&_Digital_Carver_Brickyard,_LLC.pdf",At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,58.9078947367,-77.506768871888,38.740680462023,True,Exact,"9905 GODWIN DR, MANASSAS, VA, 20110",2633,area_pop_002633
VA_DEQ_74262_SITE_02,deq_va_deq_74262_site_02,deq_va_deq_74262_site_02_gensets,74262,"10050 Brickyard Way Manassas, Virginia 20110",10050 Brickyard Way,Manassas,20110,15m,58.9078947367,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.844748858447,imputed_city_median_pm25_budget,city_median_pm25_budget,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,"data/raw/deq/pdfs/74262-3_Digital_Third_Second_Manassas,_LLC_&_Digital_Carver_Brickyard,_LLC.pdf",At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,58.9078947367,-77.4869993,38.7463583,True,zip_centroid_approx,ZCTA centroid 20110,2634,area_pop_002634
VA_DEQ_74262_SITE_03,deq_va_deq_74262_site_03,deq_va_deq_74262_site_03_gensets,74262,"10051 Brickyard Way Manassas, Virginia 20110",10051 Brickyard Way,Manassas,20110,15m,58.9078947367,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.844748858447,imputed_city_median_pm25_budget,city_median_pm25_budget,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,"data/raw/deq/pdfs/74262-3_Digital_Third_Second_Manassas,_LLC_&_Digital_Carver_Brickyard,_LLC.pdf",At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,58.9078947367,-77.4869993,38.7463583,True,zip_centroid_approx,ZCTA centroid 20110,2634,area_pop_002634
VA_DEQ_74264_SITE_01,deq_va_deq_74264_site_01,deq_va_deq_74264_site_01_gensets,74264,22588 Relocation Drive Sterling Virginia 20166,22588 Relocation Drive,Sterling,20166,15m,111.765789474,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,1.60273972603,permit_extracted_pm25_budget,deq_permit_74264,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,1.60273972603,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74264-2_Digital_Realty_-_Sterling_Premiere_LLC.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,111.765789474,-77.435661439265,38.993380992623,True,Exact,"22588 RELOCATION DR, STERLING, VA, 20166",3606,area_pop_003606
VA_DEQ_74265_SITE_01,deq_va_deq_74265_site_01,deq_va_deq_74265_site_01_gensets,74265,24171 Youngwood Lane Aldie Virginia 20105,24171 Youngwood Lane,Aldie,20105,15m,59.2263157893,imputed_from_pm25_budget_divided_by_pm25_factor,pm25_budget_and_factor,0.849315068493,permit_extracted_pm25_budget,deq_permit_74265,0.0143401637798,imputed_global_median_observed_pm25_lb_per_mwh,deq_emission_factors_observed_median,,0.849315068493,,4,True,True,https://www.deq.virginia.gov/news-info/shortcuts/permits/air/issued-air-permits-for-data-centers,data/raw/deq/pdfs/74265-2_Yondr_Data_Center.pdf,At least one headline value is imputed from global observed medians for smoke/central baseline coverage.,59.2263157893,-77.548250201944,38.950165858362,True,Exact,"24171 YOUNGWOOD LN, ALDIE, VA, 20105",3438,area_pop_003438
